,0
0,"['drama', 'comedy', 'documentation', 'thriller', 'romance', 'action', 'crime', 'family', 'animation', 'fantasy']"
1,"['drama', 'comedy', 'thriller', 'crime', 'action', 'romance', 'documentation', 'fantasy', 'scifi', 'european']"
2,"['comedy', 'drama', 'animation', 'family', 'documentation', 'romance', 'action', 'thriller', 'fantasy', 'crime']"
3,"['drama', 'comedy', 'romance', 'thriller', 'action', 'european', 'documentation', 'fantasy', 'family', 'scifi']"
4,"['drama', 'thriller', 'comedy', 'action', 'crime', 'european', 'documentation', 'romance', 'scifi', 'fantasy']"
5,"['drama', 'comedy', 'thriller', 'crime', 'documentation', 'european', 'action', 'romance', 'scifi', 'horror']"
6,"['drama', 'comedy', 'thriller', 'crime', 'action', 'romance', 'european', 'documentation', 'fantasy', 'scifi']"
7,"['drama', 'comedy', 'thriller', 'crime', 'romance', 'action', 'documentation', 'horror', 'scifi', 'family']"
8,"['drama', 'comedy', 'thriller', 'crime', 'action', 'romance', 'documentation', 'fantasy', 'horror', 'scifi']"
9,"['drama', 'comedy', 'thriller', 'crime', 'action', 'documentation', 'romance', 'fantasy', 'scifi', 'animation']"
10,"['drama', 'comedy', 'crime', 'action', 'romance', 'documentation', 'thriller', 'fantasy', 'scifi', 'animation']"
11,"['comedy', 'documentation', 'drama', 'comedy,drama', 'drama,comedy', 'documentation,crime', 'drama,romance', 'comedy,documentation', 'drama,thriller,crime', 'drama,european', 'comedy,drama,romance', 'documentation,history', 'crime,documentation', 'crime,drama,thriller', 'comedy,romance']"
12,"['comedy', 'documentation', 'drama', 'comedy,drama', 'drama,comedy', 'documentation,crime', 'drama,romance', 'comedy,documentation', 'drama,thriller,crime', 'drama,european', 'comedy,drama,romance', 'documentation,history', 'crime,documentation', 'crime,drama,thriller', 'comedy,romance']"
